Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Aparna Kanopy Yellow Bells
",Address,"HF9C+QGW, Gundlapochampalli, Hyderabad, Telangana
",Project Size,"10 Acre
",Launch Date,"Jun 19
",Status,"Under Construction
",Price per Sqft,Call For Price,Possession by,"Mar 25
",Total Units,"1049
",Total Towers,"10
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500043
",,
"
Trident
",Project Size,"3 Acre
",Launch Date,"Nov 21
",Status,"Under Construction
",Price per Sqft,₹5658,Possession by,"Dec 25
",Total Units,"330
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500035
",,,,
"
Aparna Sarovar Zicon
",Address,"Nallagandla, Hyderabad
",Project Size,"25 Acre
",Launch Date,"Apr 21
",Status,"Under Construction
",Price per Sqft,₹8235 - 10345,Possession by,"Sep 24
",Total Units,"3024
",Total Towers,"14
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500019
",,
"
Western Springs
",Address,"Puppalguda, Hyderabad, Andhra Pradesh
",Project Size,"13 Acre
",Launch Date,"Nov 23
",Status,"Under Construction
",Price per Sqft,₹7200 - 9600,Possession by,"Dec 27
",Total Units,"1491
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500089
",,,,,,
"
Sushines La Grand
",Address,"Narsingi, Hyderabad, Telangana
",Project Size,"3400 Sq-yrd
",Launch Date,"Jul 18
",Status,"Under Construction
",Price per Sqft,₹6844,Completed in,"Mar 20
",Total Units,"47
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Mukunda Greens
",Address,"Adibatla, Hyderabad
",Project Size,"8 Acre
",Launch Date,"Jun 21
",Status,"Ready To Move
",Price per Sqft,₹2276,Completed in,"Aug 21
",Total Units,"94
",Project Type,"Residential
",Property Type," Plot
",Pincode,"501510
",,,,,,,,
"
Serene Palms
",Address,"Sadashivpet, Hyderabad, Andhra pradesh
",Project Size,"11 Acre
",Launch Date,"Jul 23
",Status,"Ready To Move
",Price per Sqft,₹1944,Completed in,"Aug 23
",Total Units,"148
",Project Type,"Residential
",Property Type," Plot
",Pincode,"502291
",,,,,,,,
"
Oorjita Vedant
",Address,"Narsingi, Hyderabad
",Project Size,"5 Acre
",Launch Date,"Apr 22
",Status,"Under Construction
",Price per Sqft,₹7315 - 7766,Possession by,"Dec 25
",Total Units,"500
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500075
",,,,,,
"
Vishal Sanjivini
",Address,"168, E-City, &, Fab City Rd, Tukkuguda, Hyderabad, Telangana
",Project Size,"34 Acre
",Status,"Ongoing
",Price per Sqft,₹14014 - 18769,Possession by,"Nov 24
",Total Units,"338
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"501359
",,,,,,
"
Mayfair Apartments
",Address,"Beside Mayfair Villas, Tellapur-Osman Nagar Rd, Tellapur, Hyderabad, Telangana
",Project Size,"11 Acre
",Launch Date,"Mar 19
",Status,"Under Construction
",Price per Sqft,₹4893,Completed in,"Jun 22
",Total Units,"778
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500019
",,
"
River View
",Project Size,"2 Acre
",Launch Date,"Mar 21
",Status,"Under Construction
",Price per Sqft,₹6032,Possession by,"Mar 24
",Total Units,"21
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500075
",,,,
"
Aditya Homes
",Address,"Medipally, Hyderabad, Andhra Pradesh
",Project Size,"1 Acre
",Launch Date,"Oct 22
",Status,"Under Construction
",Price per Sqft,₹5306,Possession by,"Sep 25
",Total Units,"75
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500098
",,,,
"
Green Leaves Aura
",Address,"Opp. Vijaya Lakshmi Theatre, Saraswati Nagar, Chandrapuri Colony, L. B. Nagar, Hyderabad, Telangana
",Project Size,"2 Acre
",Launch Date,"Aug 21
",Status,"Under Construction
",Price per Sqft,₹7000,Possession by,"Jun 24
",Total Units,"216
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500035
",,,,,,
"
Greenspace Celestial
",Address,"Kokapet, Near Phenix Green International School, Hyderabad, Andhra pradesh
",Project Size,"9 Acre
",Launch Date,"Apr 21
",Status,"Under Construction
",Price per Sqft,₹6107 - 7500,Possession by,"Jun 24
",Total Units,"769
",Total Towers,"9
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500075
",,
"
Raghuram ACS Prime VIllas
",Status,"Under Construction
",Price per Sqft,₹10387 - 11541,Completed in,"Jun 23
",Project Type,"Residential
",Property Type,"Villa
",Pincode,"501503
",,,,,,,,,,,,,,,,
"
Vasavi Signature
",Address,"Kukatpally, Hyderabad
",Project Size,"2 Acre
",Launch Date,"Aug 18
",Status,"Ready To Move
",Price per Sqft,₹8902 - 9522,Completed in,"Dec 22
",Total Units,"164
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500072
",,,,,,
